"set_counts.year","set_counts.station","set_counts.lat","set_counts.lon","set_counts.E_it","set_counts.N_it","set_counts.C_it","set_counts.E_it20","set_counts.N_it20","set_counts.C_it20","set_counts.usable"
1995,"20M",54.4,-132.8333,5.842202,0,0,NA,NA,NA,"Y"
1995,"20O",54.4,-133.3167,5.069265,0,0,NA,NA,NA,"Y"
1995,"2B",50.8,-128.8333,4.918693,4,0.81322416341089,NA,NA,NA,"Y"
1995,"2BC",50.7333,-128.8833,5.069265,0,0,NA,NA,NA,"Y"
1995,"2C",50.8,-129,4.868502,1,0.205401990180963,NA,NA,NA,"Y"
1995,"3B",51,-128,5.019074,0,0,NA,NA,NA,"Y"
1995,"3BC",51.0667,-128.1667,4.968883,0,0,NA,NA,NA,"Y"
1995,"3D",51,-128.3333,5.069265,NA,NA,NA,NA,NA,"N"
1995,"3G",51,-128.8333,4.968883,0,0,NA,NA,NA,"Y"
1995,"3J",51,-129.3333,4.968883,0,0,NA,NA,NA,"Y"
1995,"3JC",51.0667,-129.45,4.968883,0,0,NA,NA,NA,"Y"
1995,"3K",51,-129.5,4.968883,0,0,NA,NA,NA,"Y"
1995,"4C",51.2,-128.1667,4.968883,1,0.201252474650741,NA,NA,NA,"Y"
1995,"4F",51.2333,-128.6667,5.069265,0,0,NA,NA,NA,"Y"
1995,"4FC",51.1333,-128.8333,4.968883,0,0,NA,NA,NA,"Y"
1995,"4H",51.2,-129,5.019074,0,0,NA,NA,NA,"Y"
1995,"4K",51.2,-129.5,5.069265,0,0,NA,NA,NA,"Y"
1995,"5C",51.4,-128.3333,4.968883,0,0,NA,NA,NA,"Y"
1995,"5CC",51.4667,-128.5,4.968883,0,0,NA,NA,NA,"Y"
1995,"5E",51.4,-128.6667,5.019074,0,0,NA,NA,NA,"Y"
1995,"5H",51.4,-129.1667,4.968883,0,0,NA,NA,NA,"Y"
1995,"5K",51.4,-129.6667,4.918693,0,0,NA,NA,NA,"Y"
1995,"5KC",51.4667,-129.8333,5.019074,0,0,NA,NA,NA,"Y"
1995,"5M",51.4,-130,4.968883,0,0,NA,NA,NA,"Y"
1995,"6B",51.6,-128.5,4.918693,0,0,NA,NA,NA,"Y"
1995,"6E",51.6,-129,4.968883,0,0,NA,NA,NA,"Y"
1995,"6EC",51.5333,-129.1667,4.968883,0,0,NA,NA,NA,"N"
1995,"6F",51.6,-129.3333,5.019074,0,0,NA,NA,NA,"Y"
1995,"6J",51.6,-129.85,4.968883,NA,NA,NA,NA,NA,"N"
1995,"7C",51.8167,-128.6667,5.019074,0,0,NA,NA,NA,"Y"
1995,"7F",51.8,-129.15,5.019074,0,0,NA,NA,NA,"Y"
