,PFMA,YEAR,QBCatch,tonnes,annualEffort,totalEffort
87,PFMA 20,1990,850.721901,0.799678587,57964,63180.76
88,PFMA 28,1990,1381.956374,1.299038991,14663,15982.67
89,PFMA 29,1990,2821.600919,2.652304864,28915,31517.35
90,PFMA 13,1991,10616.0085,9.97904799,91630,99876.7
91,PFMA 14,1991,6483.496007,6.094486247,96772,105481.48
92,PFMA 15,1991,1407.58704,1.323131817,8297,9043.73
93,PFMA 16,1991,27688.25521,26.0269599,38670,42150.3
94,PFMA 17,1991,4621.512157,4.344221428,49312,53750.08
95,PFMA 18,1991,1254.034444,1.178792377,18611,20285.99
96,PFMA 19,1991,2817.426361,2.64838078,32301,35208.09
97,PFMA 20,1991,356.0279452,0.334666268,74669,81389.21
98,PFMA 28,1991,2417.595407,2.272539683,14160,15434.4
99,PFMA 29,1991,8604.653148,8.088373959,27957,30473.13
100,PFMA 13,1992,9104.961686,8.558663985,84804,92436.36
101,PFMA 14,1992,3844.382415,3.61371947,122943,134007.87
102,PFMA 15,1992,816.9956025,0.767975866,7349,8010.41
103,PFMA 16,1992,25335.59375,23.81545813,58403,63659.27
104,PFMA 17,1992,4060.84659,3.817195795,57921,63133.89
105,PFMA 18,1992,1773.397398,1.666993554,18216,19855.44
106,PFMA 19,1992,3172.448627,2.982101709,29173,31798.57
107,PFMA 20,1992,450.1312037,0.423123331,52234,56935.06
108,PFMA 28,1992,1590.895279,1.495441562,14765,16093.85
109,PFMA 29,1992,2481.335009,2.332454908,13520,14736.8
110,PFMA 13,1993,9859.861209,9.268269536,96948,105673.32
111,PFMA 14,1993,2564.301899,2.410443785,124920,136162.8
112,PFMA 15,1993,809.2331739,0.760679183,8982,9790.38
113,PFMA 16,1993,12178.48283,11.44777386,58897,64197.73
114,PFMA 17,1993,3410.829211,3.206179459,74275,80959.75
115,PFMA 18,1993,1025.613562,0.964076748,15824,17248.16
116,PFMA 19,1993,3355.884697,3.154531615,31417,34244.53
117,PFMA 20,1993,544.708534,0.512026022,53233,58023.97
118,PFMA 28,1993,1214.540211,1.141667798,9836,10721.24
119,PFMA 29,1993,3585.822737,3.370673373,23694,25826.46
120,PFMA 13,1994,17549.8542,16.49686295,93333,101732.97
121,PFMA 14,1994,6862.799571,6.451031597,109147,118970.23
122,PFMA 15,1994,1832.580001,1.722625201,11753,12810.77
123,PFMA 16,1994,17048.9456,16.02600887,39654,43222.86
124,PFMA 17,1994,4472.592471,4.204236922,52693,57435.37
125,PFMA 18,1994,1014.971657,0.954073358,12317,13425.53
126,PFMA 19,1994,3281.230482,3.084356653,19028,20740.52
127,PFMA 20,1994,462.5360833,0.434783918,67364,73426.76
128,PFMA 28,1994,2674.241293,2.513786815,13295,14491.55
129,PFMA 29,1994,4697.651693,4.415792592,22160,24154.4
130,PFMA 13,1995,12104.59549,11.37831976,59711,65084.99
131,PFMA 14,1995,3513.665042,3.30284514,70611,76965.99
132,PFMA 15,1995,1437.989885,1.351710492,7056,7691.04
133,PFMA 16,1995,17083.8343,16.05880425,32199,35096.91
134,PFMA 17,1995,3451.07163,3.244007333,35062,38217.58
135,PFMA 18,1995,1073.312099,1.008913373,13331,14530.79
136,PFMA 19,1995,2311.436684,2.172750483,18573,20244.57
137,PFMA 20,1995,344.8872572,0.324194022,63935,69689.15
138,PFMA 28,1995,1175.888722,1.105335399,9207,10035.63
139,PFMA 29,1995,3045.508368,2.862777866,13957,15213.13
140,PFMA 13,1996,14566.44138,13.69245489,54571,59482.39
141,PFMA 14,1996,1463.106908,1.375320493,49690,54162.1
142,PFMA 15,1996,1219.348148,1.146187259,8794,9585.46
143,PFMA 16,1996,19183.55267,18.03253951,36709,40012.81
144,PFMA 17,1996,1538.078897,1.445794163,33444,36453.96
145,PFMA 18,1996,585.8748584,0.550722367,11087,12084.83
146,PFMA 19,1996,2968.156776,2.790067369,19912,21704.08
